@relation oa-importance

@attribute class {general,important}
@attribute from_code string
@attribute from_agency string
@attribute name string
@attribute wenzhong numeric
@attribute wenhao numeric
@attribute date1 date yyyy-MM-dd
@attribute date2 date yyyy-MM-dd
@attribute to_1 string
@attribute to_2 string
@attribute date0_day date yyyy-MM-dd
@attribute date0_time date HH:mm

@data
important,教技〔2019〕1号,教育部,教育部关于2018年度高等学校科学研究优秀成果奖（科学技术）奖励的决定,1,63,?,?,科研院,?,2019-01-17,17:23
general,陕教保办[2019]1号,陕西省教育厅,关于配合个人所得税专项附加扣除完善教育管理信息系统数据信息的紧急通知,1,60,?,2019-01-31,网络信息中心,人力资源部,2019-01-17,12:14
general,?,教育部办公厅,教育部办公厅关于调整2019年全国教育工作会议网络视频会议单元召开时间的紧急通知,1,57,2019-01-18,2019-01-17,校长办公室,?,2019-01-16,16:32
general,陕发[2019]2号,陕西省委办公厅,中共陕西省委陕西省人民政府关于大力发展“三个经济”推动构建内陆改革开放新高地的意见,0,49,?,?,校长办公室,?,2019-01-16,18:02
general,陕办发[2019]1号,陕西省委办公厅,中共陕西省委办公厅陕西省人民政府关于印发《陕西省脱贫攻坚工作成效考核办法》的通知,0,48,?,?,扶贫办,?,2019-01-16,17:58
general,陕教安办[2018]27号,陕西省教育厅,关于印发《全省教育系统开展扫黑除恶专项斗争工作方案》的通知,1,59,?,?,保卫处,?,2019-01-16,17:45
general,教技厅函[2019]6号,教育部办公厅,教育部办公厅关于进一步推动“绿色通道”改革试点工作的通知,1,61,?,2019-01-21,科研院,?,2019-01-15,18:10
general,教高函〔2019〕1号,教育部,教育部关于公布2018年国家精品在线开放课程认定结果的通知,1,52,?,?,教务处,?,2019-01-15,17:43
general,?,陕西省委办公厅,陕西工作交流第54期（聚力七个“走在前列”办好人民满意教育）,2,12,?,?,校长办公室,?,2019-01-15,11:47
general,?,国家自然科学基金委员会,关于请你单位调查乞艳华项目申请书涉嫌抄袭剽窃的函,1,50,?,2019-01-17,科研院,?,2019-01-15,09:07
important,人社部规[2018]4号,中央组织部,中共中央组织部人力资源社会保障部关于印发《事业单位工作人员奖励规定》的通知,0,47,?,?,人力资源部,?,2019-01-15,11:05
general,?,陕西省委办公厅,陕西工作交流第55期（创新产业扶贫模式加快精准脱贫步伐）,2,13,?,?,扶贫办,?,2019-01-15,11:50
general,陕教[2019]17号,陕西省教育厅,关于表彰2019年外国留学生迎新晚会筹办工作先进单位、先进集体和优秀个人的通报,1,53,?,?,国际教育学院,?,2019-01-15,17:56
general,?,陕西省委办公厅,陕西工作交流第57期（厚植生态优势发展生态文明）,2,15,?,?,校长办公室,?,2019-01-15,11:55
general,第188,陕西省委办公厅,陕西工作交流第58期（学习上海经验发展“三个经济”加快新时代陕西追赶超越步伐）,2,11,?,?,校长办公室,?,2019-01-15,11:39
general,?,陕西省委办公厅,陕西工作交流第59期（交流经验做法助推追赶超越）,2,10,?,?,校长办公室,?,2019-01-15,11:33
general,?,国家自然科学基金委员会,关于请你单位调查万明习在申请书冒签他人姓名的函,4,27,?,2019-01-17,科研院,?,2019-01-15,09:11
general,?,陕西省委办公厅,陕西工作交流第56期（扶贫帮困党员做脱贫成效群众说）,2,14,?,?,扶贫办,?,2019-01-15,11:53
general,陕纪教组函[2019]1号,陕西省纪委驻省教育厅纪检组,中共陕西省纪委驻省教育厅纪检组关于组织观看警示教育片《贪与悔》的通知,0,44,?,?,纪委办公室,?,2019-01-14,16:52
general,陕教工组[2019]6号,陕西省委教育工委,中共陕西省委教育工委关于做好2019年春节走访慰问工作的通知,0,45,?,?,组织部,?,2019-01-14,17:03
general,陕发[2018]25号,陕西省委办公厅,中共陕西省委陕西省人民政府关于印发《陕西省乡村振兴战略实施规划（2018—2022年）》的通知,0,43,?,?,扶贫办,?,2019-01-12,11:35
general,?,教育部科技司,关于柳洋阳同志在教育部科技司借调期间的工作鉴定意见,4,23,?,?,科研院,人力资源部,2019-01-12,11:45
general,?,教育部办公厅,教育部简报〔2019〕（信息工作情况与交流特辑第1期）：2018年1—12月各地各校信息采用情况,2,8,?,?,党委办公室,?,2019-01-11,11:51
